unified_score_buy,unified_score_sell,confidence_threshold,golden_pocket_override,gp_confidence_boost,max_position_size,stop_loss,take_profit,golden_pocket_weight,require_trend_alignment,multi_tf_confirmations,score,total_trades,win_rate,net_return,sharpe_ratio,max_drawdown,gp_trades,gp_win_rate,gp_utilization,profit_factor
45,35,0.6,40,0.85,0.7,0.06,0.12,0.35,False,1,17.81726589016044,6,66.66666666666666,0.9593381251185019,2.4162795969694515,38.45853065916295,0,0,0.0,1.15232474479362
45,35,0.6,40,0.85,0.7,0.06,0.12,0.4,False,1,17.81726589016044,6,66.66666666666666,0.9593381251185019,2.4162795969694515,38.45853065916295,0,0,0.0,1.15232474479362
45,35,0.6,40,0.85,0.7,0.06,0.15,0.35,False,1,17.81726589016044,6,66.66666666666666,0.9593381251185019,2.4162795969694515,38.45853065916295,0,0,0.0,1.15232474479362
45,35,0.6,40,0.85,0.7,0.06,0.15,0.4,False,1,17.81726589016044,6,66.66666666666666,0.9593381251185019,2.4162795969694515,38.45853065916295,0,0,0.0,1.15232474479362
45,35,0.6,40,0.9,0.7,0.06,0.12,0.35,False,1,17.81726589016044,6,66.66666666666666,0.9593381251185019,2.4162795969694515,38.45853065916295,0,0,0.0,1.15232474479362
45,35,0.6,40,0.9,0.7,0.06,0.12,0.4,False,1,17.81726589016044,6,66.66666666666666,0.9593381251185019,2.4162795969694515,38.45853065916295,0,0,0.0,1.15232474479362
45,35,0.6,40,0.9,0.7,0.06,0.15,0.35,False,1,17.81726589016044,6,66.66666666666666,0.9593381251185019,2.4162795969694515,38.45853065916295,0,0,0.0,1.15232474479362
45,35,0.6,40,0.9,0.7,0.06,0.15,0.4,False,1,17.81726589016044,6,66.66666666666666,0.9593381251185019,2.4162795969694515,38.45853065916295,0,0,0.0,1.15232474479362
50,35,0.6,40,0.85,0.7,0.06,0.12,0.35,False,1,17.732595990947615,6,66.66666666666666,0.36332232692306204,2.4698083400815545,39.2216326812743,0,0,0.0,1.0523507635315905
50,35,0.6,40,0.85,0.7,0.06,0.12,0.4,False,1,17.732595990947615,6,66.66666666666666,0.36332232692306204,2.4698083400815545,39.2216326812743,0,0,0.0,1.0523507635315905
50,35,0.6,40,0.85,0.7,0.06,0.15,0.35,False,1,17.732595990947615,6,66.66666666666666,0.36332232692306204,2.4698083400815545,39.2216326812743,0,0,0.0,1.0523507635315905
50,35,0.6,40,0.85,0.7,0.06,0.15,0.4,False,1,17.732595990947615,6,66.66666666666666,0.36332232692306204,2.4698083400815545,39.2216326812743,0,0,0.0,1.0523507635315905
50,35,0.6,40,0.9,0.7,0.06,0.12,0.35,False,1,17.732595990947615,6,66.66666666666666,0.36332232692306204,2.4698083400815545,39.2216326812743,0,0,0.0,1.0523507635315905
50,35,0.6,40,0.9,0.7,0.06,0.12,0.4,False,1,17.732595990947615,6,66.66666666666666,0.36332232692306204,2.4698083400815545,39.2216326812743,0,0,0.0,1.0523507635315905
